mouse_life_stage,Early adult
parameter_id,IMPC_CSD_002_001
analysis_id,ki36uq4v48cdk2o
parameter_name,Tail - length
mouse_strain,C57BL
pvalue,0.9315825
gene_accession_id,MGI:1352752
gene_symbol,Pde7b
