parameter_name,Retinal Blood Vessels Pattern
gene_symbol,Borcs8
analysis_id,14jqs3128euufi8
pvalue,0.7755797
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_026_001
gene_accession_id,MGI:1919618
