parameter_id,IMPC_GEO_065_001
parameter_name,Limb morphology
mouse_life_stage,Early adult
pvalue,0.7008152
gene_accession_id,MGI:1921398
mouse_strain,C57BL
analysis_id,i12n8tb3h911dr7
gene_symbol,Cluh
