mouse_strain,C57BL
parameter_name,Neural tube closure
mouse_life_stage,early adult
analysis_id,3pa83ut7z6050j7
pvalue,0.1039631
gene_symbol,Ankrd9
parameter_id,IMPC_GEL_027_001
gene_accession_id,MGI:1921501
