mouse_life_stage,Early adult
parameter_id,IMPC_ACS_006_001
parameter_name,Response amplitude - S
pvalue,0.9072723
mouse_strain,C57BL
gene_symbol,Fgf23
analysis_id,29u6s7pr2555a5r
gene_accession_id,MGI:1891427
