gene_accession_id,MGI:2441671
gene_symbol,Hcar1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_033_001
pvalue,0.4258485
parameter_name,Monocyte differential count
analysis_id,696n9r36z7pc71b
