parameter_id,IMPC_GEL_061_001
gene_symbol,Tbx3
analysis_id,ce4ql02alr9ollj
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Optic vesicle morphology
pvalue,0.3264417
gene_accession_id,MGI:98495
