mouse_strain,C57BL
parameter_id,IMPC_ECH_004_001
parameter_name,Ejection Fraction
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
pvalue,0.5963662
mouse_life_stage,E9.5
analysis_id,5i341u45j4p7k17
