mouse_strain,C57BL
parameter_id,IMPC_IMM_057_001
gene_accession_id,MGI:1915087
analysis_id,te2h83trc2631k0
pvalue,0.05253736
mouse_life_stage,E12.5
gene_symbol,Tiprl
parameter_name,NK Subsets (Q4)
