mouse_strain,C57BL
parameter_name,Number of caudal vertebrae
parameter_id,IMPC_XRY_017_001
pvalue,0.6829727
analysis_id,qe4051ae56behp6
mouse_life_stage,Early adult
gene_symbol,Fgd3
gene_accession_id,MGI:1353657
