mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.1753407
gene_accession_id,MGI:1915956
analysis_id,29xb6c7v2502bb2
gene_symbol,Rgp1
parameter_name,Red blood cell distribution width
parameter_id,IMPC_HEM_027_001
