parameter_id,IMPC_EYE_025_001
pvalue,0.07858012
gene_symbol,Plxnb3
parameter_name,Retinal Blood Vessels Structure
gene_accession_id,MGI:2154240
mouse_life_stage,Early adult
analysis_id,u4b38p6b8fsp7ko
mouse_strain,C57BL
