mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Tbx3
parameter_id,IMPC_CSD_049_002
parameter_name,Hindlimb digit - shape
gene_accession_id,MGI:98495
analysis_id,h0ehe33w51tr0hm
pvalue,0.2943134
