gene_accession_id,MGI:97312
gene_symbol,Nfkb1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_017_001
pvalue,0.3733146
parameter_name,Number of caudal vertebrae
analysis_id,6s05l03829t63e7
