gene_symbol,Scaf8
pvalue,0.9448573
mouse_strain,C57BL
analysis_id,i8uoriab0779076
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,IMPC_DXA_004_001
Gene_accession_id,MGI:1925212
Mouse_life_stage,E18.5
