gene_symbol,Bmx
parameter_id,JAX_OFD_012_001
analysis_id,b30d9snqo5gsoti
parameter_name,Periphery permanence time
mouse_life_stage,Early adult
pvalue,0.6078221
gene_accession_id,MGI:1101778
mouse_strain,C57BL
