analysis_id,5lwqq7etm98ej35
parameter_name,Left inner nuclear layer
gene_accession_id,MGI:1921501
pvalue,0.9644305
parameter_id,IMPC_EYE_069_001
gene_symbol,Ankrd9
mouse_life_stage,Early adult
mouse_strain,C57BL
