parameter_name,BMC/Body weight
analysis_id,h637bei0xijqw3t
mouse_strain,C57BL
gene_symbol,Dhcr7
mouse_life_stage,E15.5
pvalue,0.2152484
gene_accession_id,MGI:1298378
parameter_id,ESLIM_005_001_701
