mouse_strain,C57BL
analysis_id,l030m0wpdzsfm4l
pvalue,0.3839327
parameter_id,IMPC_OFD_011_001
gene_accession_id,MGI:2442233
mouse_life_stage,Early adult
parameter_name,Periphery resting time
gene_symbol,Arhgef9
