mouse_life_stage,Early adult
pvalue,0.7109423
analysis_id,1q92t13r126o04l
mouse_strain,C57BL
gene_accession_id,MGI:2148802
parameter_id,IMPC_CBC_014_001
gene_symbol,Sec16b
parameter_name,Alkaline phosphatase
