gene_accession_id,MGI:1859214
gene_symbol,Pmm2
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_EYE_023_001
pvalue,0.8749908
parameter_name,Optic Disc
analysis_id,0i6x544j525ox64
