mouse_strain,C57BL
analysis_id,j940b0rrelg82pr
parameter_id,ESLIM_013_001_009
gene_symbol,Crx
parameter_name,Right retina structure
mouse_life_stage,Early adult
gene_accession_id,MGI:1194883
pvalue,0.2962694
