mouse_strain,C57BL
parameter_id,IMPC_CSD_012_001
pvalue,0.5383623
analysis_id,92m8h63105wyeyp
mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - head
gene_accession_id,MGI:2442233
gene_symbol,Arhgef9
