gene_symbol,Kdm3b
parameter_name,Persistence of hyaloid vascular system
parameter_id,IMPC_EYE_027_001
gene_accession_id,MGI:1923356
mouse_life_stage,E18.5
mouse_strain,C57BL
pvalue,0.8219698
analysis_id,63244013n4j8wej
