mouse_life_stage,Early adult
analysis_id,ol5j7uiue4qr2f3
gene_accession_id,MGI:894318
pvalue,0.7457747
parameter_name,Delayed embryonic development
parameter_id,IMPC_GEL_063_001
gene_symbol,Cdk14
mouse_strain,C57BL
