mouse_life_stage,Early adult
pvalue,0.9959002
analysis_id,9629adp68u555vx
parameter_name,Hindlimb nail - number
gene_symbol,Nfkb1
gene_accession_id,MGI:97312
parameter_id,IMPC_CSD_051_001
mouse_strain,C57BL
