parameter_name,Pelvis
mouse_life_stage,Early adult
pvalue,0.08654674
parameter_id,CCP_XRY_012_001
mouse_strain,C57BL
analysis_id,100h5g8kp456q69
gene_symbol,Plekhh1
gene_accession_id,MGI:2144989
