pvalue,0.9547892
parameter_name,Iris/Pupil
gene_accession_id,MGI:2147134
mouse_strain,C57BL
gene_symbol,Fbxo11
mouse_life_stage,Early adult
analysis_id,zjv52z3piziqc7h
parameter_id,IMPC_EYE_010_001
