mouse_life_stage,Early adult
analysis_id,r2kscjnm50rz2an
pvalue,0.4472854
mouse_strain,C57BL
parameter_name,Body weight
gene_accession_id,MGI:1931028
gene_symbol,Recql4
parameter_id,M-G-P_009_001_003
