mouse_strain,C57BL
analysis_id,5hn704ko8964q3v
gene_accession_id,MGI:2448562
parameter_id,M-G-P_026_001_006
pvalue,0.6660074
gene_symbol,Adnp2
parameter_name,Skin condition
mouse_life_stage,Middle aged adult
