analysis_id,4w82grblq0jg4h3
parameter_id,IMPC_OFD_019_001
pvalue,0.4885305
parameter_name,Number of center entries
mouse_life_stage,E9.5
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
mouse_strain,C57BL
