analysis_id,r37593x06y2qr58
gene_symbol,Rgp1
mouse_strain,C57BL
gene_accession_id,MGI:1915956
parameter_id,IMPC_DXA_004_001
pvalue,0.9181631
mouse_life_stage,Early adult
parameter_name,Bone Mineral Density (excluding skull)
