mouse_life_stage,Late adult
analysis_id,d8grr82xnu64931
parameter_id,IMPC_OFD_009_001
pvalue,1.359346
gene_accession_id,MGI:2448562
parameter_name,Whole arena average speed
mouse_strain,C57BL
gene_symbol,Adnp2
