mouse_life_stage,Early adult
pvalue,0.8634613
parameter_id,IMPC_ACS_035_001
gene_symbol,Cmah
mouse_strain,C57BL
gene_accession_id,MGI:103227
analysis_id,50t29zd6y4970xz
parameter_name,% Pre-pulse inhibition - PPI3
