gene_symbol,Crebzf
mouse_life_stage,Early adult
gene_accession_id,MGI:2675296
parameter_name,HR
pvalue,0.08989531
analysis_id,8rr624sdt729o9t
mouse_strain,C57BL
parameter_id,IMPC_ECG_002_001
