gene_accession_id,MGI:2448562
gene_symbol,Adnp2
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,IMPC_CSD_007_001
pvalue,0.3987948
parameter_name,Coat - color - abdomen
analysis_id,4251980jy1727w2
