parameter_id,M-G-P_026_001_012
gene_symbol,Cdc34
parameter_name,Incisor
mouse_strain,C57BL
mouse_life_stage,E18.5
analysis_id,0zuu8esjbiv2003
pvalue,0.8644838
gene_accession_id,MGI:102657
