mouse_life_stage,E18.5
pvalue,0.475643
parameter_id,IMPC_CBC_025_001
analysis_id,979d47oa57qp7j1
gene_accession_id,MGI:1919618
mouse_strain,C57BL
parameter_name,LDL-cholesterol
gene_symbol,Borcs8
