gene_accession_id,MGI:1915956
gene_symbol,Rgp1
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_IPG_010_001
pvalue,0.4621648
parameter_name,Fasted blood glucose concentration
analysis_id,ru2s3a93hw51d32
