gene_symbol,Cdc34
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,a1p9xs980bmr8q9
gene_accession_id,MGI:102657
parameter_id,IMPC_GRS_011_001
pvalue,0.5070389
