pvalue,0.2190526
parameter_name,coat hair color
mouse_strain,C57BL
parameter_id,ESLIM_001_001_009
gene_accession_id,MGI:2444418
gene_symbol,Scara3
mouse_life_stage,Early adult
analysis_id,1ue3vjy3xs5qbz4
