mouse_strain,C57BL
pvalue,0.4093892
mouse_life_stage,Early adult
gene_accession_id,MGI:95514
parameter_name,Retina (combined)
analysis_id,8r3xjt2c1ouyr48
gene_symbol,Fes
parameter_id,IMPC_EYE_092_001
