mouse_strain,C57BL
parameter_name,Alkaline phosphatase
parameter_id,IMPC_CBC_014_001
mouse_life_stage,Early adult
analysis_id,4ap6lhhs3an1c4k
pvalue,0.9744981
gene_symbol,Phf6
gene_accession_id,MGI:1918248
