gene_accession_id,MGI:1925212
gene_symbol,Scaf8
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_CBC_011_001
pvalue,0.7287796
parameter_name,Iron
analysis_id,3798pu829u86f83
