analysis_id,n7q2c3m9q5rhp11
parameter_name,Spleen weight
parameter_id,UCD_OWT_003_001
mouse_life_stage,Early adult
gene_symbol,Cdc34
gene_accession_id,MGI:102657
pvalue,0.9581151
mouse_strain,C57BL
