mouse_life_stage,Early adult
gene_symbol,Plxnb3
pvalue,0.7607994
parameter_id,IMPC_HEM_005_001
gene_accession_id,MGI:2154240
parameter_name,Mean cell volume
analysis_id,8rat7w4814e0901
mouse_strain,C57BL
