gene_symbol,Patl1
parameter_id,IMPC_IMM_057_001
pvalue,0.2434475
parameter_name,NK Subsets (Q4)
gene_accession_id,MGI:2147679
mouse_strain,C57BL
mouse_life_stage,E18.5
analysis_id,h22vqv0jh8re80r
