pvalue,1.455099
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Body Weight
gene_symbol,Adam7
analysis_id,uv3642n26bcq30e
gene_accession_id,MGI:107247
parameter_id,M-G-P_020_001_001
