parameter_name,Periphery distance travelled
gene_accession_id,MGI:2685751
parameter_id,IMPC_OFD_010_001
analysis_id,360m13u5550tkpm
gene_symbol,Tmem171
pvalue,0.8971702
mouse_life_stage,Early adult
mouse_strain,C57BL
