analysis_id,ge9zceu8ba91k9y
parameter_name,Coat - hair distribution - head
mouse_life_stage,Early adult
gene_accession_id,MGI:1915956
parameter_id,IMPC_CSD_012_001
pvalue,0.06741459
mouse_strain,C57BL
gene_symbol,Rgp1
