gene_accession_id,MGI:2147679
gene_symbol,Patl1
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_CSD_007_001
pvalue,0.5251592
parameter_name,Coat - color - abdomen
analysis_id,zpm921lzn6dy836
