mouse_strain,C57BL
pvalue,0.09990448
parameter_id,IMPC_CSD_012_001
parameter_name,Coat - hair distribution - head
mouse_life_stage,Middle aged adult
analysis_id,2beu39lidrdh008
gene_symbol,Hsd17b4
gene_accession_id,MGI:105089
