mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4722144
gene_accession_id,MGI:2388267
analysis_id,5u2c55yvbd6y040
parameter_name,Body Weight
parameter_id,M-G-P_012_001_005
gene_symbol,Bicdl2
