pvalue,0.3330132
analysis_id,u5e2hd6b2b1a0ca
gene_symbol,Slc29a3
parameter_name,NK Subsets (Q4)
gene_accession_id,MGI:1918529
mouse_strain,C57BL
parameter_id,IMPC_IMM_057_001
mouse_life_stage,Early adult
