pvalue,0.905427
mouse_life_stage,Early adult
gene_accession_id,MGI:97312
mouse_strain,129SV
analysis_id,72jk908mmn50e9e
gene_symbol,Nfkb1
parameter_name,Defecation
parameter_id,ESLIM_008_001_003
