gene_accession_id,MGI:2685948
gene_symbol,Irgc
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_015_001
pvalue,0.9373887
parameter_name,Cue Baseline % Freezing Time
analysis_id,5g6bhr6h54icsbn
