gene_accession_id,MGI:2147679
gene_symbol,Patl1
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_CSD_012_001
pvalue,0.05562138
parameter_name,Coat - hair distribution - head
analysis_id,8097134o0920o6p
