mouse_life_stage,E18.5
pvalue,0.8105235
gene_accession_id,MGI:1925212
analysis_id,35kv9g2tdda9856
parameter_name,White blood cell count
mouse_strain,C57BL
parameter_id,IMPC_HEM_001_001
gene_symbol,Scaf8
