parameter_id,IMPC_EYE_056_001
parameter_name,Mean left eye lens density
analysis_id,p780dnv59t3dx11
gene_accession_id,MGI:105080
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1722833
gene_symbol,Tgoln1
