gene_accession_id,MGI:2136381
gene_symbol,Hadhb
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_010
pvalue,0.1856915
parameter_name,PP4 + pulse startle magnitude
analysis_id,1z4u8stx73x652n
