parameter_name,Liver weight
gene_accession_id,MGI:1891427
pvalue,0.1437925
parameter_id,UCD_OWT_008_001
mouse_life_stage,Early adult
analysis_id,ajttfbj130qp3e3
gene_symbol,Fgf23
mouse_strain,C57BL
