parameter_name,Forebrain
analysis_id,8640evfqv4t7tmp
pvalue,0.6910079
gene_symbol,Fbxo11
mouse_strain,C3H
parameter_id,IMPC_GEL_028_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2147134
