mouse_strain,C57BL
gene_symbol,Malrd1
pvalue,0.6096535
analysis_id,w9bv48s02odns92
parameter_id,IMPC_EYE_059_001
parameter_name,Mean right eye lens density
mouse_life_stage,Early adult
gene_accession_id,MGI:1928271
