gene_symbol,PATL1
analysis_id,0p23k93934t6j9p
pvalue,0.5659277
mouse_life_stage,E12.5
gene_accession_id,MGI:2147679
parameter_id,IMPC_HEM_002_001
mouse_strain,C57BL
parameter_name,Red blood cell count
